Words,Count
anyone,4
youi,1
devoted,4
chum,2
lent,2
valuable,2
presence,3
important,5
meetings,4
knowsocialism,1
voteandoh,1
dozens,1
fun,2
speeches,1
emphatically,1
bent,3
adore,2
particularly,4
prettiest,2
boudoir,8
designed,2
rainbow,2
lay,5
couch,1
gown,7
match,5
street,7
frocks,1
wrappers,1
smoked,1
cigarettes,1
ate,1
bonbons,1
intellectualthe,1
expounded,1
quarrelled,2
knew,16
better,12
regenerate,1
quicken,1
souls,1
you’re,3
votewe’re,1
reforming,3
united,13
states,12
state,4
fresh,4
childlike,1
laugh,3
arriving,1
conclusion,2
amusing,1
reflected,4
likeable,2
pertainment,1
rumour,1
father’s,2
vast,2
across,4
thewhat,1
themadvanced,1
told,13
circean,1
seems,6
hallmark,1
attractive,1
intimate,7
saw,11
falling,1
perceiving,1
tiring,1
subject,10
iohi,1
central,3
days,8
place,9
travel,2
chicago,2
deliciously,1
englishman,9
between,10
north,2
south,1
somewhere,4
imperturbably,1
command,1
vernacular,1
suddenly,14
older,5
face,30
excessively,1
aggressively,1
refined,1
complacent,1
insolent,2
prototype,1
resemblance,1
prophetic,1
shaking,2
warmly,2
flattered,3
opportunity,3
kindness,1
comfortable,2
upon,25
upright,2
absolute,1
happiest,2
marriedit,1
yesterdaymy,1
jaunted,1
scotland,1
wales,1
oldfashioned,2
six,3
months,1
rambled,1
seeing,2
everythingone,1
ashamed,4
tourist,1
letter,12
honeymoon,2
castle,5
near,4
strid,1
remember,7
fascinated,2
sincehe,1
busy,1
manages,1
jealous,1
heralthough,1
common,3
justice,3
add,2
knows,5
general,2
principles,2
beauty,15
southern,4
rid,2
conceited,1
rattle,1
virginia,11
talks,1
enhance,1
value,2
velvety,1
futile,1
efforts,1
rise,2
resolutely,1
sorry,9
began,2
rush,6
away,10
barely,4
opera,8
tonight,11
informally,1
early,4
dinner,18
join,2
box,11
goi,1
engagement,7
hotelhe,1
kindthanks,1
hospitably,2
received,6
strange,1
sidewalk,1
breath,5
disease,2
waxes,1
age,5
wound,6
sometimes,9
inevitable,1
sprung,2
wonder,9
fade,1
substantial,1
corpse,2
dissolving,1
view,1
butoh,1
murray,3
hill,3
crossed,3
fifth,3
waldorf,2
absently,3
swinging,2
regardless,1
glances,1
dreamed,1
iv,1
o’clock,3
flushed,5
triumph,2
elated,2
spirit,2
platform,2
east,2
side,3
surrounded,3
dozen,2
bedraggled,1
females,1
assurance,2
used,4
certain,8
gestures,1
imitate,2
wellbred,1
patronage,1
humble,1
sisters,1
quarters,1
sign,2
able,6
liquor,1
trust,3
reform,3
husbands,2
secure,1
single,1
wordand,1
prided,1
vocabularythat,1
directness,1
characterized,1
orators,1
writers,1
altogether,3
experience,1
fatigue,2
dazzling,2
embraced,1
responded,3
hug,1
shed,4
tear,2
he’s,13
ecstatically,1
whooh,1
