Words,Count
fundamental,1
strongly,20
laid,29
institutes,1
learned,21
rochefoucault,1
duty,28
selflove,3
enforced,3
taught,7
consider,67
centre,1
gravity,13
attract,3
thither,19
plainly,43
indifferent,19
get,57
nothing,164
tremendous,4
bar,2
gotobed,1
constable,12
delinquents,3
watch,19
diverse,1
outrages,1
trial,11
bloody,3
spectre,2
murderer,4
tragic,3
conceived,34
wretch,28
charged,8
battery,4
stouter,1
bore,13
affray,4
cloaths,20
open,30
sluices,1
head,56
sufficiently,16
shewed,24
scarlet,5
stream,1
issued,2
whereas,10
accuser,4
mark,6
wound,16
asked,79
defendant,3
meant,24
king’s,7
peaceto,1
answered“upon,1
shoul,2
king,13
brake,2
stick,4
gra,1
offered,34
witnesses,6
accusation,5
presently,98
interrupted,13
saying,83
sirrah,2
tongue,8
betrays,1
guilt,26
irishman,1
sufficient,44
criminal,5
streetwalker,2
alleged,1
walking,16
twelve,9
o’clock,7
watchman,4
declared,83
believed,32
strumpet,1
pleaded,1
defence,16
sent,60
shopkeeper,2
delivery,7
fetch,12
midwife,1
prove,9
neighbours,8
send,37
answered,416
messenger,15
scurrilous,1
names,7
declaring,23
statute,3
streetwalking,1
ordered,25
bridewell,3
month,11
genteel,14
forward,12
gravelooking,2
swore,12
caught,17
describe,29
having,196
received,126
wink,5
clerk,10
warmth,10
incredible,4
impossible,49
discharged,20
parties,7
going,79
commit,4
perjury,14
dissuaded,3
doubted,14
power,116
differed,3
opinion,171
seen,110
stand,11
pillory,2
gaol,5
lawyer,21
indicted,6
indictment,3
makes,32
cries,607
scandalous,5
warrant,21
rioting,3
footnote,16
opus,2
est,12
interprete,1
abusive,2
punishable,1
commissioners,1
scold,2
applied,20
eager,10
doing,29
construed,4
scolding,1
riot,3
outrageous,3
breach,13
under,70
riotting,1
spelt,1
thousands,3
arrested,11
expense,18
prison,35
intemperate,1
use,60
tongues,2
practice,12
began,155
decrease,3
1749,1
witness,11
swear,11
whore,2
times,34
oho,2
madam,322
pray,70
prisoner,25
immediately,169
performed,15
securities,1
fellow,102
name,113
beating,2
lanthorn,3
deposed,1
shattered,1
remains,5
broken,11
preserved,11
sake,37
testimony,4
corroborate,1
perceiving,9
shabbily,1
drest,13
asking,17
further,31
questions,13
length,63
earnest,34
request,18
submitted,6
alledged,1
reality,34
home,95
lodging,16
cruelly,7
stopt,17
endeavoured,40
assist,7
unequally,1
attacked,4
took,118
custody,7
carried,34
roundhouse,3
original,8
assailants,2
appeared,82
favour,76
pocket,36
unable,11
obtain,15
utterly,11
assaulted,2
solemnly,8
price,18
half,49
crown,8
offender,4
oath,12
pertinent,3
delivered,42
air,33
sincerity,8
endued,1
sagacity,4
moderately,1
gifted,1
quality,8
administer,4
employed,25
labour,4
crossexamining,1
desired,73
neither,73
sordid,1
apparel,3
sully,1
sublime,1
notions,3
ideas,18
poverty,8
remained,28
lastmentioned,1
culprit,1
engaged,37
instituted,2
proved,11
patience,20
breath,10
poured,4
forth,27
volleys,1
menaces,1
abuse,7
dispatched,5
adjourned,2
neighbouring,4
alehouse,4
morning,121
repast,6
iii,15
inside,5
rest,51
sooner,55
arrived,53
round,13
demanding,2
garnish,2
ready,37
lay,48
hold,30
apparent,9
dignity,45
insisted,16
affront,18
gentleman,196
keeper,28
turning,23
towards,39
acquainted,106
custom,15
arrival,31
former,71
drink,21
concluded,38
advising,6
new,32
customer,1
purse,10
occasion,126
comply,13
laudable,3
shilling,10
world“oho,1
departed,23
mercy,5
companions,6
loss,31
uncasing,1
termed,3
dexterity,6
coat,11
stript,5
off,71
sight,41
weak,15
resist,9
complain,11
usage,6
free,6
summoned,12
philosophy,18
inconsiderable,7
share,14
assistance,39
resolved,66
circumstances,62
thoughts,57
suffered,22
moment,69
dispositions,2
induced,7
happier,3
greater,43
fellowsufferers,2
wailing,1
repining,2
condition,63
laughing,9
singing,3
diverting,1
kinds,9
sports,1
gambols,1
accosted,3
bleareyed,5
moll,5
comely,1
eye,10
derived,5
nickname,2
bespoke,1
besides,80
remarkable,22
careful,5
constantly,10
looked,32
secondly,1
ball,5
consisted,2
entirely,80
white,9
yellow,1
grey,1
spot,5
corner,6
discernible,1
nose,11
none,51
envious,3
charms,21
gristly,1
earthly,2
damsel,1
envy,23
levelled,2
bone,1
face,57
far,96
beneath,4
bones,1
cheeks,7
rose,15
proportionally,1
dozen,7
ebony,1
teeth,4
fortified,2
canal,1
cut,10
ear,8
bottom,11
chin,2
preposterously,1
turned,56
suffering,6
grow,15
adapted,3
measured,2
middle,4
foot,8
extreme,19
breadth,1
breasts,1
forsaken,2
native,2
settled,12
below,14
girdle,1
wish,71
actresses,1
stage,5
perform,7
cast,24
dress,30
propriety,2
arrayed,2
squeamish,1
descend,4
particulars,24
suffice,5
ragged,1
dirty,7
emptied,2
st,8
giles’s,1
pains,15
reasons,17
unlovely,1
creature,46
pretty,61
productive,1
lesson,2
wretched,30
appear,58
merriest,1
smile,24
grin,1
countenance,67
dram,5
gin,1
assured,66
penny,6
replied“dn,1
eyes,119
thought,190
look,72
clever,2
snaffling,2
cant,6
term,7
robbery,2
highway,2
dn,47
sneaking,3
budge,1
pilfering,1
rascal,19
launched,4
volley,2
oaths,2
interlarded,2
proper,70
repeated,32
tall,9
earnestly,25
eying,1
taking,51
shoulder,2
flung,6
cursing,3
bh,1
bidding,2
alone,67
