Words,Count
ancestral,7
memories,4
subconscious,2
courage,11
such,55
tenderness,4
once,138
clung,6
ardently,1
grinning,1
whisked,3
off,119
beam,1
disgust,4
retired,4
behind,27
big,35
cloudwhich,1
burst,9
shortly,10
afterwards,2
washed,5
tracks,1
july,3
worked,14
forty,12
tub,1
ironingboard,1
moved,25
dusty,3
cemetery,2
september,1
rest,47
belief,6
goodlooking,3
daughter,9
safely,2
planted,3
supremely,1
happy,34
ida’s,43
however,35
gust,1
youth,22
fed,4
curiosity,9
gratified,4
quickly,16
passed,25
disappointments,3
life,196
servant,7
hired,5
girl,21
could,264
induced,2
remain,12
lonely,8
de,13
smet,12
temper,9
finding,6
relief,19
onesided,3
quarrels,1
cooks,2
philosophical,4
oriental,2
prone,2
leave,50
moment’s,2
family,15
john,27
oakley,23
cook,7
clean,9
weeks,21
obliged,11
rise,5
dawn,16
occupy,1
capable,11
daintily,1
manicured,2
hands,67
hours,38
personality,14
kindled,2
imagination,41
exciting,6
corollary,1
world’s,5
riches,7
having,29
great,115
chief,6
turned,76
gold,61
death,21
entombed,1
known,39
prosaically,1
strike,10
rich,40
prospect,19
holes,9
dug,3
past,20
learned,15
much,166
geology,6
waste,16
digging,1
bare,3
portions,2
hills,11
ledge,1
existed,3
beneath,6
tangle,1
shrub,1
treeroots,2
denuding,1
pasture,1
prepared,7
sell,9
cattle,12
told,75
conclusively,3
month,17
begged,2
raise,6
sugar,3
beets,2
build,9
factory,4
superintend,2
reminding,3
centre,4
another,88
district,2
near,17
southern,13
border,4
ranged,2
seven,10
hundredweight,1
laughed,38
suggestion,6
surprised,7
sagacity,1
barring,3
possible,39
democratic,6
victory,3
beetsugar,1
factories,1
plans,4
hint,8
complicating,1
uncongenial,2
business,36
unceasing,1
personal,27
supervision,1
profitable,1
paid,15
yearly,3
dividend,1
aunts,3
according,3
terms,8
father’s,15
will,212
replacing,1
adding,2
deposited,2
substantial,4
sum,6
bank,12
occasionally,8
permitting,2
astute,4
turn,37
hundreds,3
stockmarket,2
heyday,1
american,65
farmer,2
brought,32
highest,10
prices,2
stockyards,1
beef,1
hoof,1
raised,12
crops,7
alfalfa,5
year,69
insure,2
against,48
lean,8
